"Notes"	"County"	"County Code"	"Ethnicity"	"Ethnicity Code"	Population
"Total"	"Abbeville County, SC"	"45001"			24527
	"Aiken County, SC"	"45003"	"Hispanic or Latino"	"2135-2"	10087
	"Aiken County, SC"	"45003"	"Not Hispanic or Latino"	"2186-5"	160785
"Total"	"Aiken County, SC"	"45003"			170872
	"Allendale County, SC"	"45005"	"Hispanic or Latino"	"2135-2"	322
	"Allendale County, SC"	"45005"	"Not Hispanic or Latino"	"2186-5"	8366
"Total"	"Allendale County, SC"	"45005"			8688
	"Anderson County, SC"	"45007"	"Hispanic or Latino"	"2135-2"	8080
	"Anderson County, SC"	"45007"	"Not Hispanic or Latino"	"2186-5"	194478
"Total"	"Anderson County, SC"	"45007"			202558
	"Bamberg County, SC"	"45009"	"Hispanic or Latino"	"2135-2"	320
	"Bamberg County, SC"	"45009"	"Not Hispanic or Latino"	"2186-5"	13746
"Total"	"Bamberg County, SC"	"45009"			14066
	"Barnwell County, SC"	"45011"	"Hispanic or Latino"	"2135-2"	558
	"Barnwell County, SC"	"45011"	"Not Hispanic or Latino"	"2186-5"	20308
"Total"	"Barnwell County, SC"	"45011"			20866
	"Beaufort County, SC"	"45013"	"Hispanic or Latino"	"2135-2"	21319
	"Beaufort County, SC"	"45013"	"Not Hispanic or Latino"	"2186-5"	170803
"Total"	"Beaufort County, SC"	"45013"			192122
	"Berkeley County, SC"	"45015"	"Hispanic or Latino"	"2135-2"	15903
	"Berkeley County, SC"	"45015"	"Not Hispanic or Latino"	"2186-5"	212004
"Total"	"Berkeley County, SC"	"45015"			227907
	"Calhoun County, SC"	"45017"	"Hispanic or Latino"	"2135-2"	569
	"Calhoun County, SC"	"45017"	"Not Hispanic or Latino"	"2186-5"	13984
"Total"	"Calhoun County, SC"	"45017"			14553
	"Charleston County, SC"	"45019"	"Hispanic or Latino"	"2135-2"	21771
	"Charleston County, SC"	"45019"	"Not Hispanic or Latino"	"2186-5"	389635
"Total"	"Charleston County, SC"	"45019"			411406
	"Cherokee County, SC"	"45021"	"Hispanic or Latino"	"2135-2"	2655
	"Cherokee County, SC"	"45021"	"Not Hispanic or Latino"	"2186-5"	54645
"Total"	"Cherokee County, SC"	"45021"			57300
	"Chester County, SC"	"45023"	"Hispanic or Latino"	"2135-2"	725
	"Chester County, SC"	"45023"	"Not Hispanic or Latino"	"2186-5"	31519
"Total"	"Chester County, SC"	"45023"			32244
	"Chesterfield County, SC"	"45025"	"Hispanic or Latino"	"2135-2"	2098
	"Chesterfield County, SC"	"45025"	"Not Hispanic or Latino"	"2186-5"	43552
"Total"	"Chesterfield County, SC"	"45025"			45650
	"Clarendon County, SC"	"45027"	"Hispanic or Latino"	"2135-2"	1085
	"Clarendon County, SC"	"45027"	"Not Hispanic or Latino"	"2186-5"	32660
"Total"	"Clarendon County, SC"	"45027"			33745
	"Colleton County, SC"	"45029"	"Hispanic or Latino"	"2135-2"	1230
	"Colleton County, SC"	"45029"	"Not Hispanic or Latino"	"2186-5"	36447
"Total"	"Colleton County, SC"	"45029"			37677
	"Darlington County, SC"	"45031"	"Hispanic or Latino"	"2135-2"	1445
	"Darlington County, SC"	"45031"	"Not Hispanic or Latino"	"2186-5"	65173
"Total"	"Darlington County, SC"	"45031"			66618
	"Dillon County, SC"	"45033"	"Hispanic or Latino"	"2135-2"	864
	"Dillon County, SC"	"45033"	"Not Hispanic or Latino"	"2186-5"	29615
"Total"	"Dillon County, SC"	"45033"			30479
	"Dorchester County, SC"	"45035"	"Hispanic or Latino"	"2135-2"	9395
	"Dorchester County, SC"	"45035"	"Not Hispanic or Latino"	"2186-5"	153414
"Total"	"Dorchester County, SC"	"45035"			162809
	"Edgefield County, SC"	"45037"	"Hispanic or Latino"	"2135-2"	1690
	"Edgefield County, SC"	"45037"	"Not Hispanic or Latino"	"2186-5"	25570
"Total"	"Edgefield County, SC"	"45037"			27260
	"Fairfield County, SC"	"45039"	"Hispanic or Latino"	"2135-2"	528
	"Fairfield County, SC"	"45039"	"Not Hispanic or Latino"	"2186-5"	21819
"Total"	"Fairfield County, SC"	"45039"			22347
	"Florence County, SC"	"45041"	"Hispanic or Latino"	"2135-2"	3889
	"Florence County, SC"	"45041"	"Not Hispanic or Latino"	"2186-5"	134404
"Total"	"Florence County, SC"	"45041"			138293
	"Georgetown County, SC"	"45043"	"Hispanic or Latino"	"2135-2"	1990
	"Georgetown County, SC"	"45043"	"Not Hispanic or Latino"	"2186-5"	60690
"Total"	"Georgetown County, SC"	"45043"			62680
	"Greenville County, SC"	"45045"	"Hispanic or Latino"	"2135-2"	49792
	"Greenville County, SC"	"45045"	"Not Hispanic or Latino"	"2186-5"	473750
"Total"	"Greenville County, SC"	"45045"			523542
	"Greenwood County, SC"	"45047"	"Hispanic or Latino"	"2135-2"	4382
	"Greenwood County, SC"	"45047"	"Not Hispanic or Latino"	"2186-5"	66429
"Total"	"Greenwood County, SC"	"45047"			70811
	"Hampton County, SC"	"45049"	"Hispanic or Latino"	"2135-2"	801
	"Hampton County, SC"	"45049"	"Not Hispanic or Latino"	"2186-5"	18421
"Total"	"Hampton County, SC"	"45049"			19222
	"Horry County, SC"	"45051"	"Hispanic or Latino"	"2135-2"	21591
	"Horry County, SC"	"45051"	"Not Hispanic or Latino"	"2186-5"	332490
"Total"	"Horry County, SC"	"45051"			354081
	"Jasper County, SC"	"45053"	"Hispanic or Latino"	"2135-2"	4195
	"Jasper County, SC"	"45053"	"Not Hispanic or Latino"	"2186-5"	25878
"Total"	"Jasper County, SC"	"45053"			30073
	"Kershaw County, SC"	"45055"	"Hispanic or Latino"	"2135-2"	3233
	"Kershaw County, SC"	"45055"	"Not Hispanic or Latino"	"2186-5"	63318
"Total"	"Kershaw County, SC"	"45055"			66551
	"Lancaster County, SC"	"45057"	"Hispanic or Latino"	"2135-2"	5735
	"Lancaster County, SC"	"45057"	"Not Hispanic or Latino"	"2186-5"	92277
"Total"	"Lancaster County, SC"	"45057"			98012
	"Laurens County, SC"	"45059"	"Hispanic or Latino"	"2135-2"	3580
	"Laurens County, SC"	"45059"	"Not Hispanic or Latino"	"2186-5"	63913
"Total"	"Laurens County, SC"	"45059"			67493
	"Lee County, SC"	"45061"	"Hispanic or Latino"	"2135-2"	429
	"Lee County, SC"	"45061"	"Not Hispanic or Latino"	"2186-5"	16399
"Total"	"Lee County, SC"	"45061"			16828
	"Lexington County, SC"	"45063"	"Hispanic or Latino"	"2135-2"	18794
	"Lexington County, SC"	"45063"	"Not Hispanic or Latino"	"2186-5"	279956
"Total"	"Lexington County, SC"	"45063"			298750
	"McCormick County, SC"	"45065"	"Hispanic or Latino"	"2135-2"	136
	"McCormick County, SC"	"45065"	"Not Hispanic or Latino"	"2186-5"	9327
"Total"	"McCormick County, SC"	"45065"			9463
	"Marion County, SC"	"45067"	"Hispanic or Latino"	"2135-2"	893
	"Marion County, SC"	"45067"	"Not Hispanic or Latino"	"2186-5"	29764
"Total"	"Marion County, SC"	"45067"			30657
	"Marlboro County, SC"	"45069"	"Hispanic or Latino"	"2135-2"	893
	"Marlboro County, SC"	"45069"	"Not Hispanic or Latino"	"2186-5"	25225
"Total"	"Marlboro County, SC"	"45069"			26118
	"Newberry County, SC"	"45071"	"Hispanic or Latino"	"2135-2"	3013
	"Newberry County, SC"	"45071"	"Not Hispanic or Latino"	"2186-5"	35427
"Total"	"Newberry County, SC"	"45071"			38440
	"Oconee County, SC"	"45073"	"Hispanic or Latino"	"2135-2"	4630
	"Oconee County, SC"	"45073"	"Not Hispanic or Latino"	"2186-5"	74916
"Total"	"Oconee County, SC"	"45073"			79546
	"Orangeburg County, SC"	"45075"	"Hispanic or Latino"	"2135-2"	2040
	"Orangeburg County, SC"	"45075"	"Not Hispanic or Latino"	"2186-5"	84135
"Total"	"Orangeburg County, SC"	"45075"			86175
	"Pickens County, SC"	"45077"	"Hispanic or Latino"	"2135-2"	5000
	"Pickens County, SC"	"45077"	"Not Hispanic or Latino"	"2186-5"	121884
"Total"	"Pickens County, SC"	"45077"			126884
	"Richland County, SC"	"45079"	"Hispanic or Latino"	"2135-2"	22230
	"Richland County, SC"	"45079"	"Not Hispanic or Latino"	"2186-5"	393529
"Total"	"Richland County, SC"	"45079"			415759
	"Saluda County, SC"	"45081"	"Hispanic or Latino"	"2135-2"	3245
	"Saluda County, SC"	"45081"	"Not Hispanic or Latino"	"2186-5"	17228
"Total"	"Saluda County, SC"	"45081"			20473
	"Spartanburg County, SC"	"45083"	"Hispanic or Latino"	"2135-2"	23304
	"Spartanburg County, SC"	"45083"	"Not Hispanic or Latino"	"2186-5"	296481
"Total"	"Spartanburg County, SC"	"45083"			319785
	"Sumter County, SC"	"45085"	"Hispanic or Latino"	"2135-2"	4469
	"Sumter County, SC"	"45085"	"Not Hispanic or Latino"	"2186-5"	102252
"Total"	"Sumter County, SC"	"45085"			106721
	"Union County, SC"	"45087"	"Hispanic or Latino"	"2135-2"	481
	"Union County, SC"	"45087"	"Not Hispanic or Latino"	"2186-5"	26835
"Total"	"Union County, SC"	"45087"			27316
	"Williamsburg County, SC"	"45089"	"Hispanic or Latino"	"2135-2"	685
	"Williamsburg County, SC"	"45089"	"Not Hispanic or Latino"	"2186-5"	29683
"Total"	"Williamsburg County, SC"	"45089"			30368
	"York County, SC"	"45091"	"Hispanic or Latino"	"2135-2"	16642
	"York County, SC"	"45091"	"Not Hispanic or Latino"	"2186-5"	264337
"Total"	"York County, SC"	"45091"			280979
	"Aurora County, SD"	"46003"	"Hispanic or Latino"	"2135-2"	197
	"Aurora County, SD"	"46003"	"Not Hispanic or Latino"	"2186-5"	2554
"Total"	"Aurora County, SD"	"46003"			2751
	"Beadle County, SD"	"46005"	"Hispanic or Latino"	"2135-2"	1979
	"Beadle County, SD"	"46005"	"Not Hispanic or Latino"	"2186-5"	16474
"Total"	"Beadle County, SD"	"46005"			18453
	"Bennett County, SD"	"46007"	"Hispanic or Latino"	"2135-2"	208
	"Bennett County, SD"	"46007"	"Not Hispanic or Latino"	"2186-5"	3157
"Total"	"Bennett County, SD"	"46007"			3365
	"Bon Homme County, SD"	"46009"	"Hispanic or Latino"	"2135-2"	214
	"Bon Homme County, SD"	"46009"	"Not Hispanic or Latino"	"2186-5"	6687
"Total"	"Bon Homme County, SD"	"46009"			6901
	"Brookings County, SD"	"46011"	"Hispanic or Latino"	"2135-2"	1226
	"Brookings County, SD"	"46011"	"Not Hispanic or Latino"	"2186-5"	33851
"Total"	"Brookings County, SD"	"46011"			35077
	"Brown County, SD"	"46013"	"Hispanic or Latino"	"2135-2"	1383
	"Brown County, SD"	"46013"	"Not Hispanic or Latino"	"2186-5"	37456
"Total"	"Brown County, SD"	"46013"			38839
	"Brule County, SD"	"46015"	"Hispanic or Latino"	"2135-2"	171
	"Brule County, SD"	"46015"	"Not Hispanic or Latino"	"2186-5"	5126
"Total"	"Brule County, SD"	"46015"			5297
	"Buffalo County, SD"	"46017"	"Hispanic or Latino"	"2135-2"	105
	"Buffalo County, SD"	"46017"	"Not Hispanic or Latino"	"2186-5"	1857
"Total"	"Buffalo County, SD"	"46017"			1962
	"Butte County, SD"	"46019"	"Hispanic or Latino"	"2135-2"	392
	"Butte County, SD"	"46019"	"Not Hispanic or Latino"	"2186-5"	10037
"Total"	"Butte County, SD"	"46019"			10429
	"Campbell County, SD"	"46021"	"Hispanic or Latino"	"2135-2"	37
	"Campbell County, SD"	"46021"	"Not Hispanic or Latino"	"2186-5"	1339
"Total"	"Campbell County, SD"	"46021"			1376
	"Charles Mix County, SD"	"46023"	"Hispanic or Latino"	"2135-2"	345
	"Charles Mix County, SD"	"46023"	"Not Hispanic or Latino"	"2186-5"	8947
"Total"	"Charles Mix County, SD"	"46023"			9292
	"Clark County, SD"	"46025"	"Hispanic or Latino"	"2135-2"	131
	"Clark County, SD"	"46025"	"Not Hispanic or Latino"	"2186-5"	3605
"Total"	"Clark County, SD"	"46025"			3736
	"Clay County, SD"	"46027"	"Hispanic or Latino"	"2135-2"	444
	"Clay County, SD"	"46027"	"Not Hispanic or Latino"	"2186-5"	13626
"Total"	"Clay County, SD"	"46027"			14070
	"Codington County, SD"	"46029"	"Hispanic or Latino"	"2135-2"	682
	"Codington County, SD"	"46029"	"Not Hispanic or Latino"	"2186-5"	27327
"Total"	"Codington County, SD"	"46029"			28009
	"Corson County, SD"	"46031"	"Hispanic or Latino"	"2135-2"	216
	"Corson County, SD"	"46031"	"Not Hispanic or Latino"	"2186-5"	3870
"Total"	"Corson County, SD"	"46031"			4086
	"Custer County, SD"	"46033"	"Hispanic or Latino"	"2135-2"	393
	"Custer County, SD"	"46033"	"Not Hispanic or Latino"	"2186-5"	8579
"Total"	"Custer County, SD"	"46033"			8972
	"Davison County, SD"	"46035"	"Hispanic or Latino"	"2135-2"	733
	"Davison County, SD"	"46035"	"Not Hispanic or Latino"	"2186-5"	19042
"Total"	"Davison County, SD"	"46035"			19775
	"Day County, SD"	"46037"	"Hispanic or Latino"	"2135-2"	135
	"Day County, SD"	"46037"	"Not Hispanic or Latino"	"2186-5"	5289
"Total"	"Day County, SD"	"46037"			5424
	"Deuel County, SD"	"46039"	"Hispanic or Latino"	"2135-2"	170
	"Deuel County, SD"	"46039"	"Not Hispanic or Latino"	"2186-5"	4181
"Total"	"Deuel County, SD"	"46039"			4351
	"Dewey County, SD"	"46041"	"Hispanic or Latino"	"2135-2"	292
	"Dewey County, SD"	"46041"	"Not Hispanic or Latino"	"2186-5"	5600
"Total"	"Dewey County, SD"	"46041"			5892
	"Douglas County, SD"	"46043"	"Hispanic or Latino"	"2135-2"	59
	"Douglas County, SD"	"46043"	"Not Hispanic or Latino"	"2186-5"	2862
"Total"	"Douglas County, SD"	"46043"			2921
	"Edmunds County, SD"	"46045"	"Hispanic or Latino"	"2135-2"	85
	"Edmunds County, SD"	"46045"	"Not Hispanic or Latino"	"2186-5"	3744
"Total"	"Edmunds County, SD"	"46045"			3829
	"Fall River County, SD"	"46047"	"Hispanic or Latino"	"2135-2"	258
	"Fall River County, SD"	"46047"	"Not Hispanic or Latino"	"2186-5"	6455
"Total"	"Fall River County, SD"	"46047"			6713
	"Faulk County, SD"	"46049"	"Hispanic or Latino"	"2135-2"	23
	"Faulk County, SD"	"46049"	"Not Hispanic or Latino"	"2186-5"	2276
"Total"	"Faulk County, SD"	"46049"			2299
	"Grant County, SD"	"46051"	"Hispanic or Latino"	"2135-2"	353
	"Grant County, SD"	"46051"	"Not Hispanic or Latino"	"2186-5"	6699
"Total"	"Grant County, SD"	"46051"			7052
	"Gregory County, SD"	"46053"	"Hispanic or Latino"	"2135-2"	71
	"Gregory County, SD"	"46053"	"Not Hispanic or Latino"	"2186-5"	4114
"Total"	"Gregory County, SD"	"46053"			4185
	"Haakon County, SD"	"46055"	"Hispanic or Latino"	"2135-2"	33
	"Haakon County, SD"	"46055"	"Not Hispanic or Latino"	"2186-5"	1866
"Total"	"Haakon County, SD"	"46055"			1899
	"Hamlin County, SD"	"46057"	"Hispanic or Latino"	"2135-2"	276
	"Hamlin County, SD"	"46057"	"Not Hispanic or Latino"	"2186-5"	5888
"Total"	"Hamlin County, SD"	"46057"			6164
	"Hand County, SD"	"46059"	"Hispanic or Latino"	"2135-2"	43
	"Hand County, SD"	"46059"	"Not Hispanic or Latino"	"2186-5"	3148
"Total"	"Hand County, SD"	"46059"			3191
	"Hanson County, SD"	"46061"	"Hispanic or Latino"	"2135-2"	51
	"Hanson County, SD"	"46061"	"Not Hispanic or Latino"	"2186-5"	3402
"Total"	"Hanson County, SD"	"46061"			3453
	"Harding County, SD"	"46063"	"Hispanic or Latino"	"2135-2"	34
	"Harding County, SD"	"46063"	"Not Hispanic or Latino"	"2186-5"	1264
"Total"	"Harding County, SD"	"46063"			1298
	"Hughes County, SD"	"46065"	"Hispanic or Latino"	"2135-2"	559
	"Hughes County, SD"	"46065"	"Not Hispanic or Latino"	"2186-5"	16967
"Total"	"Hughes County, SD"	"46065"			17526
	"Hutchinson County, SD"	"46067"	"Hispanic or Latino"	"2135-2"	167
	"Hutchinson County, SD"	"46067"	"Not Hispanic or Latino"	"2186-5"	7124
"Total"	"Hutchinson County, SD"	"46067"			7291
	"Hyde County, SD"	"46069"	"Hispanic or Latino"	"2135-2"	19
	"Hyde County, SD"	"46069"	"Not Hispanic or Latino"	"2186-5"	1282
"Total"	"Hyde County, SD"	"46069"			1301
	"Jackson County, SD"	"46071"	"Hispanic or Latino"	"2135-2"	133
	"Jackson County, SD"	"46071"	"Not Hispanic or Latino"	"2186-5"	3211
"Total"	"Jackson County, SD"	"46071"			3344
	"Jerauld County, SD"	"46073"	"Hispanic or Latino"	"2135-2"	94
	"Jerauld County, SD"	"46073"	"Not Hispanic or Latino"	"2186-5"	1919
"Total"	"Jerauld County, SD"	"46073"			2013
	"Jones County, SD"	"46075"	"Hispanic or Latino"	"2135-2"	24
	"Jones County, SD"	"46075"	"Not Hispanic or Latino"	"2186-5"	879
"Total"	"Jones County, SD"	"46075"			903
	"Kingsbury County, SD"	"46077"	"Hispanic or Latino"	"2135-2"	125
	"Kingsbury County, SD"	"46077"	"Not Hispanic or Latino"	"2186-5"	4814
"Total"	"Kingsbury County, SD"	"46077"			4939
	"Lake County, SD"	"46079"	"Hispanic or Latino"	"2135-2"	349
	"Lake County, SD"	"46079"	"Not Hispanic or Latino"	"2186-5"	12448
"Total"	"Lake County, SD"	"46079"			12797
	"Lawrence County, SD"	"46081"	"Hispanic or Latino"	"2135-2"	900
	"Lawrence County, SD"	"46081"	"Not Hispanic or Latino"	"2186-5"	24944
"Total"	"Lawrence County, SD"	"46081"			25844
	"Lincoln County, SD"	"46083"	"Hispanic or Latino"	"2135-2"	1476
	"Lincoln County, SD"	"46083"	"Not Hispanic or Latino"	"2186-5"	59652
"Total"	"Lincoln County, SD"	"46083"			61128
	"Lyman County, SD"	"46085"	"Hispanic or Latino"	"2135-2"	97
	"Lyman County, SD"	"46085"	"Not Hispanic or Latino"	"2186-5"	3684
"Total"	"Lyman County, SD"	"46085"			3781
	"McCook County, SD"	"46087"	"Hispanic or Latino"	"2135-2"	238
	"McCook County, SD"	"46087"	"Not Hispanic or Latino"	"2186-5"	5348
"Total"	"McCook County, SD"	"46087"			5586
	"McPherson County, SD"	"46089"	"Hispanic or Latino"	"2135-2"	37
	"McPherson County, SD"	"46089"	"Not Hispanic or Latino"	"2186-5"	2342
"Total"	"McPherson County, SD"	"46089"			2379
	"Marshall County, SD"	"46091"	"Hispanic or Latino"	"2135-2"	397
	"Marshall County, SD"	"46091"	"Not Hispanic or Latino"	"2186-5"	4538
"Total"	"Marshall County, SD"	"46091"			4935
	"Meade County, SD"	"46093"	"Hispanic or Latino"	"2135-2"	1233
	"Meade County, SD"	"46093"	"Not Hispanic or Latino"	"2186-5"	27099
"Total"	"Meade County, SD"	"46093"			28332
	"Mellette County, SD"	"46095"	"Hispanic or Latino"	"2135-2"	72
	"Mellette County, SD"	"46095"	"Not Hispanic or Latino"	"2186-5"	1989
"Total"	"Mellette County, SD"	"46095"			2061
	"Miner County, SD"	"46097"	"Hispanic or Latino"	"2135-2"	71
	"Miner County, SD"	"46097"	"Not Hispanic or Latino"	"2186-5"	2145
"Total"	"Miner County, SD"	"46097"			2216
	"Minnehaha County, SD"	"46099"	"Hispanic or Latino"	"2135-2"	9936
	"Minnehaha County, SD"	"46099"	"Not Hispanic or Latino"	"2186-5"	183198
"Total"	"Minnehaha County, SD"	"46099"			193134
	"Moody County, SD"	"46101"	"Hispanic or Latino"	"2135-2"	301
	"Moody County, SD"	"46101"	"Not Hispanic or Latino"	"2186-5"	6275
"Total"	"Moody County, SD"	"46101"			6576
	"Oglala Lakota County, SD"	"46102"	"Hispanic or Latino"	"2135-2"	579
	"Oglala Lakota County, SD"	"46102"	"Not Hispanic or Latino"	"2186-5"	13598
"Total"	"Oglala Lakota County, SD"	"46102"			14177
	"Pennington County, SD"	"46103"	"Hispanic or Latino"	"2135-2"	6125
	"Pennington County, SD"	"46103"	"Not Hispanic or Latino"	"2186-5"	107650
"Total"	"Pennington County, SD"	"46103"			113775
	"Perkins County, SD"	"46105"	"Hispanic or Latino"	"2135-2"	49
	"Perkins County, SD"	"46105"	"Not Hispanic or Latino"	"2186-5"	2816
"Total"	"Perkins County, SD"	"46105"			2865
	"Potter County, SD"	"46107"	"Hispanic or Latino"	"2135-2"	51
	"Potter County, SD"	"46107"	"Not Hispanic or Latino"	"2186-5"	2102
"Total"	"Potter County, SD"	"46107"			2153
	"Roberts County, SD"	"46109"	"Hispanic or Latino"	"2135-2"	397
	"Roberts County, SD"	"46109"	"Not Hispanic or Latino"	"2186-5"	9997
"Total"	"Roberts County, SD"	"46109"			10394
	"Sanborn County, SD"	"46111"	"Hispanic or Latino"	"2135-2"	74
	"Sanborn County, SD"	"46111"	"Not Hispanic or Latino"	"2186-5"	2270
"Total"	"Sanborn County, SD"	"46111"			2344
	"Spink County, SD"	"46115"	"Hispanic or Latino"	"2135-2"	217
	"Spink County, SD"	"46115"	"Not Hispanic or Latino"	"2186-5"	6159
"Total"	"Spink County, SD"	"46115"			6376
	"Stanley County, SD"	"46117"	"Hispanic or Latino"	"2135-2"	74
	"Stanley County, SD"	"46117"	"Not Hispanic or Latino"	"2186-5"	3024
"Total"	"Stanley County, SD"	"46117"			3098
	"Sully County, SD"	"46119"	"Hispanic or Latino"	"2135-2"	34
	"Sully County, SD"	"46119"	"Not Hispanic or Latino"	"2186-5"	1357
"Total"	"Sully County, SD"	"46119"			1391
	"Todd County, SD"	"46121"	"Hispanic or Latino"	"2135-2"	423
	"Todd County, SD"	"46121"	"Not Hispanic or Latino"	"2186-5"	9754
"Total"	"Todd County, SD"	"46121"			10177
	"Tripp County, SD"	"46123"	"Hispanic or Latino"	"2135-2"	144
	"Tripp County, SD"	"46123"	"Not Hispanic or Latino"	"2186-5"	5297
"Total"	"Tripp County, SD"	"46123"			5441
	"Turner County, SD"	"46125"	"Hispanic or Latino"	"2135-2"	221
	"Turner County, SD"	"46125"	"Not Hispanic or Latino"	"2186-5"	8163
"Total"	"Turner County, SD"	"46125"			8384
	"Union County, SD"	"46127"	"Hispanic or Latino"	"2135-2"	591
	"Union County, SD"	"46127"	"Not Hispanic or Latino"	"2186-5"	15341
"Total"	"Union County, SD"	"46127"			15932
	"Walworth County, SD"	"46129"	"Hispanic or Latino"	"2135-2"	132
	"Walworth County, SD"	"46129"	"Not Hispanic or Latino"	"2186-5"	5303
"Total"	"Walworth County, SD"	"46129"			5435
	"Yankton County, SD"	"46135"	"Hispanic or Latino"	"2135-2"	1164
	"Yankton County, SD"	"46135"	"Not Hispanic or Latino"	"2186-5"	21650
"Total"	"Yankton County, SD"	"46135"			22814
	"Ziebach County, SD"	"46137"	"Hispanic or Latino"	"2135-2"	109
	"Ziebach County, SD"	"46137"	"Not Hispanic or Latino"	"2186-5"	2647
"Total"	"Ziebach County, SD"	"46137"			2756
	"Anderson County, TN"	"47001"	"Hispanic or Latino"	"2135-2"	2435
	"Anderson County, TN"	"47001"	"Not Hispanic or Latino"	"2186-5"	74543
"Total"	"Anderson County, TN"	"47001"			76978
	"Bedford County, TN"	"47003"	"Hispanic or Latino"	"2135-2"	6500
	"Bedford County, TN"	"47003"	"Not Hispanic or Latino"	"2186-5"	43213
"Total"	"Bedford County, TN"	"47003"			49713
	"Benton County, TN"	"47005"	"Hispanic or Latino"	"2135-2"	433
	"Benton County, TN"	"47005"	"Not Hispanic or Latino"	"2186-5"	15727
"Total"	"Benton County, TN"	"47005"			16160
	"Bledsoe County, TN"	"47007"	"Hispanic or Latino"	"2135-2"	427
	"Bledsoe County, TN"	"47007"	"Not Hispanic or Latino"	"2186-5"	14637
"Total"	"Bledsoe County, TN"	"47007"			15064
	"Blount County, TN"	"47009"	"Hispanic or Latino"	"2135-2"	4815
	"Blount County, TN"	"47009"	"Not Hispanic or Latino"	"2186-5"	128273
"Total"	"Blount County, TN"	"47009"			133088
	"Bradley County, TN"	"47011"	"Hispanic or Latino"	"2135-2"	7168
	"Bradley County, TN"	"47011"	"Not Hispanic or Latino"	"2186-5"	100942
"Total"	"Bradley County, TN"	"47011"			108110
	"Campbell County, TN"	"47013"	"Hispanic or Latino"	"2135-2"	619
	"Campbell County, TN"	"47013"	"Not Hispanic or Latino"	"2186-5"	39223
"Total"	"Campbell County, TN"	"47013"			39842
	"Cannon County, TN"	"47015"	"Hispanic or Latino"	"2135-2"	363
	"Cannon County, TN"	"47015"	"Not Hispanic or Latino"	"2186-5"	14315
"Total"	"Cannon County, TN"	"47015"			14678
	"Carroll County, TN"	"47017"	"Hispanic or Latino"	"2135-2"	809
	"Carroll County, TN"	"47017"	"Not Hispanic or Latino"	"2186-5"	26958
"Total"	"Carroll County, TN"	"47017"			27767
	"Carter County, TN"	"47019"	"Hispanic or Latino"	"2135-2"	1130
	"Carter County, TN"	"47019"	"Not Hispanic or Latino"	"2186-5"	55261
"Total"	"Carter County, TN"	"47019"			56391
	"Cheatham County, TN"	"47021"	"Hispanic or Latino"	"2135-2"	1374
	"Cheatham County, TN"	"47021"	"Not Hispanic or Latino"	"2186-5"	39293
"Total"	"Cheatham County, TN"	"47021"			40667
	"Chester County, TN"	"47023"	"Hispanic or Latino"	"2135-2"	498
	"Chester County, TN"	"47023"	"Not Hispanic or Latino"	"2186-5"	16799
"Total"	"Chester County, TN"	"47023"			17297
	"Claiborne County, TN"	"47025"	"Hispanic or Latino"	"2135-2"	459
	"Claiborne County, TN"	"47025"	"Not Hispanic or Latino"	"2186-5"	31500
"Total"	"Claiborne County, TN"	"47025"			31959
	"Clay County, TN"	"47027"	"Hispanic or Latino"	"2135-2"	193
	"Clay County, TN"	"47027"	"Not Hispanic or Latino"	"2186-5"	7422
"Total"	"Clay County, TN"	"47027"			7615
	"Cocke County, TN"	"47029"	"Hispanic or Latino"	"2135-2"	932
	"Cocke County, TN"	"47029"	"Not Hispanic or Latino"	"2186-5"	35072
"Total"	"Cocke County, TN"	"47029"			36004
	"Coffee County, TN"	"47031"	"Hispanic or Latino"	"2135-2"	2651
	"Coffee County, TN"	"47031"	"Not Hispanic or Latino"	"2186-5"	53869
"Total"	"Coffee County, TN"	"47031"			56520
	"Crockett County, TN"	"47033"	"Hispanic or Latino"	"2135-2"	1560
	"Crockett County, TN"	"47033"	"Not Hispanic or Latino"	"2186-5"	12670
"Total"	"Crockett County, TN"	"47033"			14230
	"Cumberland County, TN"	"47035"	"Hispanic or Latino"	"2135-2"	1905
	"Cumberland County, TN"	"47035"	"Not Hispanic or Latino"	"2186-5"	58615
"Total"	"Cumberland County, TN"	"47035"			60520
	"Davidson County, TN"	"47037"	"Hispanic or Latino"	"2135-2"	72218
	"Davidson County, TN"	"47037"	"Not Hispanic or Latino"	"2186-5"	621926
"Total"	"Davidson County, TN"	"47037"			694144
	"Decatur County, TN"	"47039"	"Hispanic or Latino"	"2135-2"	416
	"Decatur County, TN"	"47039"	"Not Hispanic or Latino"	"2186-5"	11247
"Total"	"Decatur County, TN"	"47039"			11663
	"DeKalb County, TN"	"47041"	"Hispanic or Latino"	"2135-2"	1756
	"DeKalb County, TN"	"47041"	"Not Hispanic or Latino"	"2186-5"	18734
"Total"	"DeKalb County, TN"	"47041"			20490
	"Dickson County, TN"	"47043"	"Hispanic or Latino"	"2135-2"	2090
	"Dickson County, TN"	"47043"	"Not Hispanic or Latino"	"2186-5"	51858
"Total"	"Dickson County, TN"	"47043"			53948
	"Dyer County, TN"	"47045"	"Hispanic or Latino"	"2135-2"	1331
	"Dyer County, TN"	"47045"	"Not Hispanic or Latino"	"2186-5"	35828
"Total"	"Dyer County, TN"	"47045"			37159
	"Fayette County, TN"	"47047"	"Hispanic or Latino"	"2135-2"	1254
